cv_matched,required_level,importance,basic_score,intermediate_score,advanced_score,total_score,target_level
True,basic,required,0.9696,0.9044,0.8933,0.9329,advanced
False,basic,required,0.7381,0.2319,0.1395,0.3828,basic
True,basic,required,0.8866,0.7647,0.5489,0.7371,intermediate
False,intermediate,preferred,0.8819,0.7503,0.4945,0.7027,intermediate
True,basic,required,0.8823,0.769,0.5461,0.7482,intermediate
True,advanced,preferred,0.6464,0.3472,0.2274,0.4014,basic
False,intermediate,required,0.6296,0.5875,0.2304,0.5475,basic
True,basic,required,0.9548,0.7172,0.8732,0.8609,advanced
True,intermediate,required,0.9636,0.9733,0.7457,0.9305,advanced
False,advanced,preferred,0.5464,0.4421,0.185,0.4124,basic
True,advanced,preferred,0.9463,1.0,0.6883,0.8798,advanced
True,intermediate,required,0.9059,0.7271,0.5131,0.7293,intermediate
False,intermediate,required,1.0,0.5019,0.4519,0.6586,intermediate
True,intermediate,required,0.7859,0.8106,0.1719,0.6486,intermediate
True,intermediate,required,0.8009,0.2286,0.0754,0.3528,basic
False,intermediate,preferred,0.7394,0.3099,0.2102,0.4608,basic
True,intermediate,preferred,0.9752,0.8346,0.3347,0.7598,intermediate
True,basic,required,0.8299,0.7538,0.3423,0.6758,intermediate
False,intermediate,required,0.9735,0.8053,0.3942,0.7559,intermediate
False,basic,preferred,0.7072,0.2294,0.1898,0.3946,basic
True,intermediate,preferred,0.8732,0.9913,0.4712,0.8595,intermediate
True,intermediate,required,0.9321,0.9683,0.3283,0.7997,intermediate
True,advanced,preferred,1.0,0.8461,0.7647,0.8391,advanced
True,basic,preferred,0.8981,0.9642,0.6219,0.8642,intermediate
True,basic,required,0.6789,0.2137,0.0788,0.3145,basic
True,advanced,required,0.9319,0.8147,0.3124,0.7616,intermediate
False,intermediate,preferred,0.5126,0.6002,0.1095,0.4825,basic
False,intermediate,preferred,0.5934,0.1292,0.0528,0.2269,basic
False,basic,required,0.9798,0.9009,0.745,0.8761,advanced
False,advanced,required,0.8914,0.6764,0.352,0.6536,intermediate
False,advanced,required,0.5613,0.3647,0.1574,0.38,basic
True,basic,required,0.906,0.5353,0.0,0.5202,basic
True,intermediate,required,0.9061,0.6217,0.5195,0.6858,intermediate
False,advanced,preferred,0.611,0.1373,0.2605,0.3018,basic
True,basic,preferred,0.6439,0.5708,0.1374,0.5098,basic
True,intermediate,preferred,0.8743,0.7049,0.4009,0.6786,intermediate
True,basic,preferred,0.7094,0.0403,0.2116,0.3242,basic
True,advanced,required,0.9342,0.5412,0.2774,0.6229,intermediate
False,advanced,preferred,1.0,0.8669,0.8547,0.8921,advanced
False,intermediate,required,0.7221,0.3433,0.0798,0.4156,basic
True,basic,required,0.9671,0.9315,0.2414,0.7627,intermediate
False,advanced,preferred,0.9804,0.7248,0.4277,0.7687,intermediate
False,intermediate,required,0.8427,0.1481,0.1797,0.4132,basic
False,advanced,preferred,0.7825,0.6601,0.1923,0.6093,intermediate
True,intermediate,required,0.8292,0.9053,0.1626,0.6869,intermediate
True,intermediate,required,1.0,0.9608,0.7312,0.9622,advanced
False,intermediate,preferred,0.7108,0.1546,0.105,0.3042,basic
True,advanced,preferred,0.6697,0.3749,0.1011,0.4207,basic
True,basic,required,0.9459,0.3589,0.1258,0.5215,basic
True,intermediate,required,0.5812,0.4517,0.0218,0.3851,basic
True,advanced,preferred,0.9384,0.9211,0.8949,0.9074,advanced
True,intermediate,preferred,0.9368,0.8851,0.8472,0.8965,advanced
False,intermediate,required,0.859,0.3791,0.0141,0.4654,basic
False,intermediate,preferred,0.8005,0.6807,0.2794,0.6402,intermediate
True,advanced,preferred,0.9696,0.8174,1.0,0.8916,advanced
False,advanced,preferred,0.9962,0.0551,0.0653,0.3683,basic
False,advanced,required,0.6331,0.1282,0.1112,0.3523,basic
True,advanced,required,0.8506,0.9396,0.6192,0.8201,intermediate
True,intermediate,required,0.9828,1.0,0.7621,0.9304,advanced
True,basic,required,0.4975,0.1446,0.2362,0.26,basic
True,intermediate,preferred,0.9678,0.8318,0.8631,0.8561,advanced
True,basic,required,0.9,0.7736,0.7988,0.8264,advanced
False,intermediate,required,0.5811,0.4081,0.0285,0.3754,basic
False,basic,required,0.6976,0.3737,0.0287,0.3952,basic
True,intermediate,preferred,0.9629,0.9424,0.8075,0.9404,advanced
True,intermediate,preferred,0.7358,0.4603,0.0,0.4421,basic
True,basic,required,0.5612,0.1047,0.0,0.2239,basic
False,advanced,required,0.9587,0.1616,0.2036,0.4517,basic
True,intermediate,required,0.961,0.6825,0.8886,0.7857,advanced
True,intermediate,preferred,0.7321,0.365,0.0532,0.4354,basic
False,basic,required,0.6479,0.2439,0.1287,0.3674,basic
True,intermediate,required,1.0,0.72,0.2889,0.7208,intermediate
True,basic,preferred,0.928,0.9081,0.8951,0.8441,advanced
True,basic,required,0.8944,0.7987,0.389,0.6902,intermediate
True,advanced,required,0.7648,0.1405,0.0233,0.338,basic
True,advanced,required,0.9568,0.7616,0.8646,0.8832,advanced
True,advanced,required,0.9355,0.8558,0.7612,0.8634,advanced
False,advanced,required,0.8414,0.6798,0.4487,0.658,intermediate
True,intermediate,required,0.9549,0.9591,0.7493,0.8818,advanced
True,intermediate,required,0.9335,0.7398,0.3006,0.69,intermediate
True,intermediate,required,0.9382,0.9113,0.6521,0.8596,advanced
False,intermediate,required,0.6853,0.2591,0.2016,0.3677,basic
False,advanced,required,0.9893,0.7809,0.8443,0.8938,advanced
True,intermediate,preferred,0.6197,0.4656,0.0594,0.4545,basic
True,intermediate,preferred,0.9647,0.679,0.3774,0.7298,intermediate
False,intermediate,required,0.8488,0.7668,0.2132,0.6584,intermediate
True,basic,required,0.9917,0.9782,0.7877,0.9372,advanced
True,basic,required,0.9694,0.8785,0.7389,0.8993,advanced
True,basic,preferred,0.9287,0.9504,0.8607,0.9466,advanced
True,intermediate,required,0.8311,0.662,0.5147,0.6833,intermediate
False,advanced,preferred,0.8747,0.5719,0.1946,0.5954,basic
False,advanced,required,0.9184,0.6592,0.3466,0.6562,intermediate
True,intermediate,required,0.6734,0.2812,0.1507,0.4022,basic
False,intermediate,preferred,0.8005,0.2061,0.2414,0.4202,basic
False,advanced,required,0.6824,0.269,0.0372,0.3739,basic
True,basic,required,0.976,0.8279,0.7471,0.8713,advanced
True,basic,required,0.9921,0.9482,0.7141,0.9099,advanced
True,intermediate,preferred,0.8548,0.4142,0.1062,0.4669,basic
True,basic,preferred,0.8716,0.811,0.4143,0.7291,intermediate
False,basic,required,0.7864,0.5225,0.0685,0.4792,basic
False,intermediate,preferred,0.7375,0.3647,0.1974,0.4758,basic
False,advanced,required,0.8346,0.5406,0.4625,0.6307,intermediate
True,basic,preferred,0.8667,0.6319,0.5173,0.6803,intermediate
False,advanced,required,0.8851,0.6009,0.3262,0.6558,basic
False,intermediate,required,0.9203,0.9109,0.9068,0.9301,advanced
True,basic,preferred,0.8491,0.9441,0.7568,0.8463,advanced
True,intermediate,required,0.9618,0.8382,0.2569,0.7254,intermediate
False,advanced,required,0.8377,0.2774,0.2399,0.4254,basic
False,basic,required,0.9574,0.9176,0.6152,0.8706,intermediate
False,advanced,preferred,0.8627,0.5905,0.4519,0.6405,intermediate
False,basic,preferred,0.8611,0.7642,0.3416,0.6725,intermediate
True,basic,preferred,0.9209,0.8086,0.8355,0.8502,advanced
True,intermediate,required,0.9408,0.9371,0.8174,0.9051,advanced
False,intermediate,preferred,0.9081,0.6369,0.1332,0.5854,intermediate
True,intermediate,preferred,0.9175,0.891,0.7742,0.8896,advanced
False,intermediate,preferred,0.8112,0.8067,0.1934,0.7032,intermediate
False,basic,required,0.9271,0.8669,0.847,0.9213,advanced
True,basic,preferred,0.8764,0.7652,0.4331,0.7573,intermediate
True,intermediate,preferred,0.5686,0.2895,0.0076,0.3297,basic
False,advanced,preferred,0.8431,0.7574,0.5756,0.7431,intermediate
False,advanced,preferred,0.6225,0.2081,0.0717,0.3,basic
False,intermediate,required,0.9743,0.813,0.7503,0.84,advanced
True,intermediate,preferred,1.0,0.9519,0.3424,0.8024,intermediate
True,intermediate,required,0.972,0.8199,0.7574,0.8804,advanced
False,advanced,required,1.0,0.6793,0.2479,0.6612,intermediate
False,advanced,preferred,0.5537,0.3365,0.2183,0.3961,basic
False,advanced,required,1.0,0.3456,0.1106,0.5094,basic
True,advanced,required,0.5969,0.4799,0.1191,0.4367,basic
True,intermediate,required,0.9124,0.8596,0.8033,0.8587,advanced
True,basic,preferred,0.6371,0.144,0.1684,0.318,basic
True,basic,required,0.9534,0.9845,0.7909,0.8804,advanced
True,intermediate,required,0.9936,0.9237,0.7761,0.904,advanced
True,basic,preferred,0.9779,0.7829,0.9944,0.8716,advanced
False,advanced,preferred,0.6413,0.3616,0.0277,0.3861,basic
True,basic,preferred,0.8046,0.1316,0.1326,0.4062,basic
True,advanced,required,0.8597,0.8944,0.428,0.7701,intermediate
True,basic,preferred,0.9115,0.9467,0.8273,0.9176,advanced
False,advanced,required,0.7949,0.6921,0.2467,0.6107,intermediate
True,advanced,required,0.9386,0.8728,0.8332,0.8897,advanced
True,basic,required,0.7235,0.3644,0.2089,0.4407,basic
True,advanced,required,0.9448,0.8574,0.788,0.8663,advanced
False,basic,required,0.796,0.0937,0.0146,0.2984,basic
False,advanced,preferred,0.7514,0.4459,0.2102,0.4982,basic
False,advanced,required,0.6394,0.4313,0.0,0.3864,basic
False,basic,required,0.8258,0.7738,0.5165,0.7377,intermediate
True,basic,required,0.8586,0.7741,0.3694,0.72,intermediate
True,advanced,preferred,1.0,0.791,0.9222,0.9319,advanced
False,advanced,required,0.8803,0.6657,0.6839,0.7418,intermediate
True,intermediate,required,0.9963,0.8628,0.8807,0.9181,advanced
True,intermediate,preferred,0.8824,0.5432,0.4433,0.6121,intermediate
True,basic,required,0.8753,0.6748,0.4247,0.7092,intermediate
True,advanced,required,0.9932,0.8335,0.885,0.8907,advanced
False,advanced,required,0.6978,0.4707,0.0801,0.4394,basic
False,advanced,required,0.9707,0.9207,0.6419,0.8864,advanced
False,advanced,preferred,0.7825,0.3788,0.0823,0.4575,basic
True,basic,required,0.9245,0.8554,0.9521,0.894,advanced
False,intermediate,required,0.8579,0.9006,0.5662,0.8286,intermediate
False,basic,required,0.785,0.3527,0.2153,0.4754,basic
True,advanced,preferred,1.0,0.8893,0.8317,0.9517,advanced
False,advanced,required,0.4649,0.4226,0.2055,0.4089,basic
False,intermediate,preferred,0.6114,0.2965,0.2318,0.3931,basic
False,intermediate,required,1.0,0.6121,0.3297,0.6819,intermediate
True,intermediate,required,0.9569,0.8524,0.9397,0.9725,advanced
False,advanced,required,0.663,0.4292,0.251,0.4944,basic
False,advanced,preferred,0.9254,0.8967,0.8107,0.9092,advanced
False,intermediate,required,0.6028,0.3794,0.0726,0.3806,basic
True,advanced,required,0.8909,0.7343,0.3592,0.71,intermediate
False,intermediate,preferred,0.7557,0.7145,0.3669,0.6466,intermediate
True,intermediate,preferred,0.8914,0.7948,0.1601,0.6474,intermediate
True,basic,required,0.7986,0.7623,0.4719,0.6926,intermediate
True,intermediate,required,0.7991,0.6635,0.3886,0.6521,intermediate
False,advanced,required,1.0,0.8064,0.547,0.8036,advanced
True,intermediate,required,1.0,0.9702,0.7552,0.9014,advanced
True,basic,preferred,1.0,1.0,0.7405,0.8932,advanced
False,intermediate,preferred,0.9215,0.7157,0.467,0.7182,intermediate
True,basic,preferred,0.5909,0.324,0.1148,0.398,basic
True,intermediate,required,0.7548,0.9436,0.4839,0.7664,intermediate
True,basic,preferred,0.8956,0.7786,0.453,0.751,intermediate
True,basic,required,0.9191,0.8164,0.6898,0.8037,advanced
True,advanced,required,1.0,0.7259,0.5133,0.7907,intermediate
False,intermediate,required,0.6366,0.462,0.1412,0.4774,basic
True,advanced,preferred,0.9981,0.921,0.8725,0.9462,advanced
True,basic,required,0.9144,0.7645,0.2933,0.7055,intermediate
True,intermediate,required,0.8944,0.7494,0.7809,0.797,advanced
True,basic,preferred,0.8843,0.8971,0.8001,0.852,advanced
True,intermediate,required,0.8871,0.679,0.2403,0.6269,intermediate
True,advanced,preferred,0.9932,0.8645,0.7735,0.8467,advanced
False,basic,required,1.0,0.7021,0.4637,0.7298,intermediate
True,intermediate,required,0.934,0.8951,0.6895,0.873,advanced
True,basic,preferred,1.0,1.0,0.8392,0.9496,advanced
False,advanced,required,0.5843,0.451,0.033,0.3889,basic
True,basic,required,0.9764,0.6467,0.2598,0.6879,intermediate
False,basic,required,0.9856,0.769,0.5002,0.7806,intermediate
True,advanced,preferred,0.9756,0.8717,0.8265,0.8851,advanced
True,basic,preferred,0.9785,0.9523,0.7586,0.9008,advanced
True,basic,preferred,0.9178,0.9647,0.8203,0.9065,advanced
True,intermediate,required,0.863,0.8776,0.7927,0.8735,advanced
True,intermediate,preferred,0.9176,0.6174,0.607,0.7074,intermediate
True,intermediate,required,0.8782,0.7865,0.5159,0.783,intermediate
True,advanced,required,0.7166,0.2724,0.3667,0.4316,basic
True,advanced,required,0.4907,0.3367,0.0,0.2837,basic
True,intermediate,required,0.695,0.7309,0.7178,0.7307,intermediate
True,advanced,preferred,0.8913,0.7011,0.3423,0.7093,intermediate
True,basic,required,0.881,0.7692,0.5173,0.7305,intermediate
False,basic,required,0.7198,0.3271,0.1373,0.422,basic
True,basic,required,0.6525,0.2949,0.0457,0.3418,basic
True,advanced,required,0.994,1.0,1.0,1.0,advanced
False,intermediate,required,0.847,0.6902,0.4274,0.6595,intermediate
True,basic,required,0.9609,0.9102,0.9123,0.9388,advanced
True,intermediate,required,0.9995,0.8739,0.768,0.8944,advanced
False,basic,required,0.4973,0.2193,0.0501,0.2993,basic
True,intermediate,required,0.9673,0.6882,0.6863,0.7475,intermediate
True,intermediate,required,0.9577,0.9699,0.8302,0.9444,advanced
False,advanced,preferred,0.6485,0.4024,0.0,0.3972,basic
False,advanced,required,0.9271,0.9854,0.7163,0.9294,advanced
True,intermediate,preferred,0.8932,0.6257,0.2454,0.6409,intermediate
False,advanced,preferred,0.7367,0.4677,0.1663,0.4974,basic
True,intermediate,preferred,0.9624,0.7741,0.7392,0.8465,advanced
False,basic,required,0.6045,0.3675,0.0442,0.3383,basic
True,advanced,required,0.8439,1.0,0.7269,0.8819,advanced
False,advanced,preferred,0.476,0.4611,0.0515,0.3797,basic
False,advanced,required,0.8357,0.8246,0.228,0.6935,intermediate
False,advanced,required,0.4811,0.2134,0.1018,0.2826,basic
False,advanced,preferred,0.8849,0.8422,0.3621,0.7673,intermediate
True,basic,required,0.8559,0.6474,0.3287,0.6496,intermediate
True,intermediate,preferred,0.8558,0.8959,0.8437,0.8769,advanced
True,intermediate,preferred,0.827,0.2527,0.0,0.4155,basic
True,advanced,preferred,0.8144,0.0109,0.3622,0.3971,basic
False,intermediate,required,0.5695,0.168,0.1879,0.2905,basic
True,basic,preferred,0.8024,0.3531,0.0629,0.4525,basic
True,basic,required,1.0,0.578,0.2962,0.6598,intermediate
False,intermediate,required,0.716,0.0751,0.1975,0.3021,basic
True,basic,required,1.0,0.8002,0.7616,0.8655,advanced
True,basic,required,0.9581,0.9159,0.7645,0.8852,advanced
False,intermediate,preferred,0.987,0.8424,0.3208,0.7762,intermediate
True,basic,required,0.777,0.1641,0.1937,0.4088,basic
True,basic,required,0.855,0.0,0.1994,0.3447,basic
False,advanced,preferred,0.8952,0.7955,0.4884,0.7336,intermediate
True,basic,required,0.8667,0.988,0.7819,0.855,advanced
True,intermediate,required,0.9201,0.8576,0.6883,0.8169,advanced
True,advanced,required,0.8836,0.703,0.3838,0.6884,intermediate
True,basic,required,0.5797,0.1657,0.245,0.3001,basic
True,basic,preferred,0.5282,0.4036,0.0526,0.3548,basic
True,intermediate,required,0.9538,0.8361,0.816,0.8823,advanced
False,advanced,required,0.9537,0.8161,0.4394,0.7668,intermediate
True,intermediate,required,0.9311,0.7539,0.1927,0.6804,intermediate
True,basic,required,0.7803,0.685,0.3683,0.6102,intermediate
True,intermediate,preferred,0.9714,0.7947,0.7883,0.8405,advanced
False,advanced,required,0.5441,0.4362,0.2011,0.3922,basic
True,intermediate,required,0.9524,0.5963,0.3499,0.6649,intermediate
True,intermediate,required,0.9657,0.8399,0.8621,0.8862,advanced
False,advanced,preferred,0.8349,0.2732,0.1765,0.4252,basic
True,basic,required,0.8333,0.8671,0.429,0.7517,intermediate
True,advanced,preferred,0.9606,0.8731,0.9568,0.9505,advanced
True,basic,required,0.9235,0.7266,0.2703,0.6676,intermediate
True,intermediate,required,1.0,0.7199,0.6061,0.8094,intermediate
False,advanced,preferred,0.76,0.3861,0.1276,0.4672,basic
False,intermediate,required,0.9782,0.6747,0.1874,0.6523,intermediate
False,advanced,required,0.9648,0.723,0.535,0.7735,intermediate
True,basic,preferred,0.8266,0.3811,0.446,0.5522,basic
False,advanced,required,0.6341,0.4403,0.0813,0.4175,basic
False,advanced,required,0.7952,0.3177,0.1452,0.4342,basic
True,intermediate,required,1.0,0.7585,0.4932,0.7877,intermediate
True,basic,required,0.8917,0.828,0.1528,0.6885,intermediate
True,intermediate,preferred,0.8466,0.8506,0.2196,0.6642,intermediate
False,advanced,required,0.9855,0.8571,0.8308,0.8523,advanced
False,advanced,preferred,0.7504,0.405,0.3257,0.4834,basic
True,basic,required,0.9293,0.9982,0.5239,0.8472,advanced
True,basic,preferred,0.909,0.9245,0.3407,0.7816,intermediate
True,advanced,required,1.0,0.7933,0.1871,0.7028,intermediate
False,advanced,required,0.7731,0.562,0.6419,0.6637,intermediate
False,basic,required,0.7636,0.0458,0.0841,0.3078,basic
True,basic,required,0.9559,0.938,0.801,0.918,advanced
False,intermediate,preferred,0.7046,0.1172,0.09,0.315,basic
False,basic,preferred,0.8125,0.2887,0.1926,0.4292,basic
False,intermediate,preferred,0.8493,0.3385,0.1561,0.4785,basic
False,advanced,required,0.8253,0.7571,0.0838,0.6369,basic
True,advanced,required,1.0,0.8434,0.7957,0.8875,advanced
False,intermediate,required,0.7686,0.2152,0.1355,0.4126,basic
True,intermediate,required,0.8764,0.8846,0.2291,0.7041,intermediate
False,advanced,preferred,0.9019,0.7682,0.787,0.8118,advanced
True,intermediate,required,0.6749,0.6154,0.1469,0.5494,basic
True,basic,required,0.9564,0.8289,0.3917,0.7924,intermediate
True,basic,required,0.6039,0.5309,0.0,0.4499,basic
False,intermediate,preferred,0.765,0.5218,0.1984,0.5323,basic
False,intermediate,preferred,0.6102,0.082,0.0395,0.2863,basic
True,basic,required,0.9452,0.7676,0.8016,0.8563,advanced
True,basic,required,0.9534,0.7935,0.8566,0.864,advanced
True,intermediate,preferred,0.9639,0.8758,0.6578,0.8742,advanced
True,basic,preferred,0.9371,0.6133,0.4987,0.6733,intermediate
True,advanced,preferred,0.9532,0.8197,0.2902,0.7432,intermediate
True,basic,required,0.974,0.7548,0.8095,0.8399,advanced
True,intermediate,preferred,0.9868,0.8566,0.7531,0.8892,advanced
True,intermediate,required,0.9903,0.929,0.6983,0.8879,advanced
True,advanced,preferred,0.8847,0.7463,0.3469,0.6844,intermediate
False,advanced,preferred,1.0,0.813,0.53,0.8481,intermediate
True,basic,required,0.8467,0.7331,0.5684,0.7477,intermediate
True,basic,required,0.94,0.6101,0.4315,0.6389,intermediate
True,advanced,required,1.0,0.8785,0.8702,0.9177,advanced
False,advanced,preferred,0.9751,0.7145,0.3073,0.707,intermediate
True,basic,required,0.9303,0.8412,0.9231,0.9265,advanced
True,intermediate,required,0.9981,0.9179,0.8523,0.9562,advanced
True,intermediate,preferred,0.9195,0.8218,0.5458,0.793,intermediate
True,intermediate,required,0.8904,0.969,0.7193,0.8761,advanced
True,advanced,preferred,0.8096,0.8123,0.4681,0.7092,intermediate
False,advanced,required,0.8517,0.6863,0.5013,0.7301,intermediate
False,advanced,preferred,0.6781,0.2522,0.1543,0.3829,basic
True,advanced,required,0.6525,0.5114,0.1104,0.4351,basic
True,intermediate,required,0.9986,0.4963,0.3224,0.6189,intermediate
True,basic,required,0.9447,0.8336,0.9369,0.8756,advanced
True,basic,required,0.9159,0.7787,0.3116,0.7044,intermediate
True,advanced,required,0.8712,0.7801,0.4057,0.7723,intermediate
True,advanced,required,0.9093,0.7399,0.4238,0.7194,intermediate
False,advanced,required,0.5577,0.0,0.1742,0.2716,basic
True,basic,preferred,0.7473,0.0501,0.0921,0.3215,basic
True,intermediate,required,0.9899,1.0,0.9091,0.9995,advanced
False,intermediate,required,0.6143,0.5566,0.2125,0.4914,basic
True,basic,required,1.0,1.0,1.0,0.9968,advanced
True,advanced,preferred,0.9249,0.957,0.8233,0.9079,advanced
True,intermediate,preferred,0.7456,0.2933,0.1267,0.4189,basic
False,intermediate,required,1.0,0.8098,0.6148,0.8443,advanced
True,advanced,required,0.749,0.2769,0.0361,0.3642,basic
False,advanced,required,0.8882,0.6967,0.2726,0.6402,intermediate
False,basic,required,0.7995,0.3162,0.0544,0.4052,basic
False,advanced,required,0.9594,0.8499,0.5721,0.8309,intermediate
True,intermediate,preferred,0.939,0.9911,0.7615,0.9231,advanced
True,basic,required,0.9113,0.9323,0.7623,0.9229,advanced
